"Nr","Datum","Jahr","Land","Stadt","Umsatz","Kosten","Rücksendung","Bereich","Produktgruppe","Logistik-Code","Kunde"
"51","2/20/2025","2025","Vereinigtes Königreich","London","8451.60","6761.28","","Bereich-4","prd-33","10-43648-1","C-115"
"52","2/21/2025","2025","China","Shanghai","6597.15","5277.72","","Bereich-2","prd-84","4-43653-1","C-124"
"53","2/22/2025","2025","Vereinigtes Königreich","London","11326.50","9061.20","","Bereich-5","prd-4","10-43649-1","C-115"
"54","2/23/2025","2025","Mexiko","Oaxaca","4633.35","3706.68","","Bereich-3","prd-61","9-43650-1","C-117"
"55","2/24/2025","2025","USA","Las Vegas","5905.35","6495.89","1","Bereich-3","prd-66","1-43654-1","C-76"
"56","2/25/2025","2025","Deutschland","Berlin","7496.55","8246.20","","Bereich-1","prd-59","3-43656-1","C-65"
"57","2/26/2025","2025","Vereinigtes Königreich","London","4964.25","3971.40","","Bereich-4","prd-32","7-43649-1","C-141"
"58","2/27/2025","2025","Deutschland","Berlin","7787.25","6229.80","1","Bereich-4","prd-21","3-43657-1","C-65"
"59","2/28/2025","2025","USA","Las Vegas","8631.45","9839.85","","Bereich-1","prd-43","1-43655-1","C-76"
"60","3/1/2025","2025","Vereinigtes Königreich","London","4506.00","5136.84","","Bereich-4","prd-21","7-43651-1","C-141"
"61","3/2/2025","2025","Südkorea","Busan","5845.35","6663.70","","Bereich-3","prd-60","5-43650-1","C-65"
"62","3/3/2025","2025","Südkorea","Busan","12189.45","7313.67","","Bereich-1","prd-53","5-43651-1","C-65"
"63","3/4/2025","2025","Südkorea","Busan","7023.45","4214.07","","Bereich-5","prd-4","2-43655-1","C-107"
"64","3/5/2025","2025","USA","Las Vegas","7672.80","4603.68","","Bereich-2","prd-92","1-43656-1","C-76"
"65","3/6/2025","2025","Vereinigtes Königreich","London","8471.70","5083.02","","Bereich-2","prd-96","10-43650-1","C-115"
"66","3/7/2025","2025","China","Shanghai","4508.25","2704.95","","Bereich-1","prd-47","4-43654-1","C-124"
"67","3/8/2025","2025","Deutschland","Berlin","4499.55","2699.73","","Bereich-1","prd-59","3-43658-1","C-65"
"68","3/9/2025","2025","USA","Las Vegas","5460.60","3276.36","","Bereich-2","prd-80","1-43657-1","C-76"
"69","3/10/2025","2025","Südkorea","Busan","6576.15","3945.69","","Bereich-2","prd-98","5-43652-1","C-65"
"70","3/11/2025","2025","USA","Las Vegas","5937.75","3562.65","1","Bereich-1","prd-50","12-43649-1","C-53"
"71","3/12/2025","2025","Deutschland","Berlin","5302.35","3181.41","","Bereich-1","prd-49","3-43659-1","C-65"
"72","3/13/2025","2025","Mexiko","Oaxaca","9707.55","5824.53","","Bereich-3","prd-68","8-43648-1","C-109"
"73","3/14/2025","2025","Deutschland","Berlin","11228.10","8982.48","","Bereich-2","prd-96","3-43660-1","C-65"
"74","3/15/2025","2025","USA","Las Vegas","9145.65","7316.52","","Bereich-5","prd-13","1-43658-1","C-76"
"75","3/16/2025","2025","Südkorea","Busan","6529.65","5223.72","","Bereich-1","prd-44","5-43653-1","C-65"
"76","3/17/2025","2025","Deutschland","Berlin","8846.25","7077.00","","Bereich-2","prd-93","3-43661-1","C-65"
"77","3/18/2025","2025","USA","Seattle","9833.70","7866.96","1","Bereich-1","prd-49","1-43659-1","C-76"
"78","3/19/2025","2025","China","Shanghai","7121.85","7834.04","1","Bereich-4","prd-37","4-43655-1","C-124"
"79","3/20/2025","2025","Südkorea","Busan","6400.95","5120.76","","Bereich-3","prd-62","5-43654-1","C-65"
"80","3/21/2025","2025","Deutschland","Berlin","8325.00","6660.00","","Bereich-3","prd-73","3-43662-1","C-65"
"81","3/22/2025","2025","Südkorea","Busan","4784.55","3827.64","","Bereich-5","prd-18","2-43656-1","C-107"
"82","3/23/2025","2025","USA","Seattle","4319.70","3455.76","","Bereich-5","prd-8","12-43650-1","C-53"
"83","3/24/2025","2025","USA","Seattle","5961.00","3576.60","","Bereich-2","prd-97","12-43651-1","C-53"
"84","3/25/2025","2025","USA","Seattle","7283.85","4370.31","","Bereich-4","prd-22","12-43652-1","C-53"
"85","3/26/2025","2025","USA","Seattle","4405.05","4845.56","1","Bereich-2","prd-91","12-43653-1","C-53"
"86","3/27/2025","2025","Mexiko","Oaxaca","7329.90","8062.89","","Bereich-5","prd-10","8-43649-1","C-109"
"87","3/28/2025","2025","Deutschland","Berlin","5429.85","5972.84","1","Bereich-5","prd-8","3-43663-1","C-65"
"88","3/29/2025","2025","Südkorea","Busan","10140.30","6084.18","","Bereich-3","prd-74","5-43655-1","C-65"
"89","3/30/2025","2025","USA","Seattle","6071.70","3643.02","","Bereich-2","prd-88","1-43660-1","C-76"
"90","3/31/2025","2025","Vereinigtes Königreich","London","7130.25","4278.15","1","Bereich-1","prd-54","10-43651-1","C-115"
"91","4/1/2025","2025","USA","Seattle","6353.85","3812.31","","Bereich-4","prd-26","12-43654-1","C-53"
"92","4/2/2025","2025","Deutschland","München","9379.80","5627.88","1","Bereich-4","prd-30","3-43664-1","C-65"
"93","4/3/2025","2025","Südkorea","Busan","9439.65","5663.79","","Bereich-2","prd-87","5-43656-1","C-65"
"94","4/4/2025","2025","China","Shanghai","5171.55","4137.24","","Bereich-3","prd-78","4-43656-1","C-124"
"95","4/5/2025","2025","Deutschland","München","9021.30","7217.04","","Bereich-3","prd-71","3-43665-1","C-65"
"96","4/6/2025","2025","Südkorea","Busan","5113.80","4091.04","","Bereich-3","prd-61","6-43651-1","C-85"
"97","4/7/2025","2025","USA","Seattle","7737.15","6189.72","","Bereich-4","prd-29","1-43661-1","C-76"
"98","4/8/2025","2025","China","Shanghai","6868.80","5495.04","","Bereich-3","prd-62","11-43648-1","C-137"
"99","4/9/2025","2025","China","Shanghai","5157.30","4125.84","1","Bereich-4","prd-24","4-43657-1","C-124"
"100","4/10/2025","2025","Südkorea","Busan","10564.05","8451.24","1","Bereich-2","prd-81","5-43657-1","C-65"
"101","4/11/2025","2025","Südkorea","Busan","5310.45","4248.36","","Bereich-3","prd-72","6-43652-1","C-85"
"102","4/12/2025","2025","Südkorea","Incheon","4947.75","3958.20","","Bereich-5","prd-19","2-43657-1","C-107"
"103","4/13/2025","2025","China","Shanghai","4057.20","3245.76","","Bereich-5","prd-7","4-43658-1","C-124"
"104","4/14/2025","2025","USA","Seattle","6479.40","5183.52","","Bereich-5","prd-3","1-43662-1","C-76"
"105","4/15/2025","2025","Südkorea","Incheon","8243.85","6595.08","","Bereich-2","prd-96","5-43658-1","C-65"
"106","4/16/2025","2025","China","Chongqing","5644.65","4515.72","","Bereich-1","prd-56","4-43659-1","C-124"
"107","4/17/2025","2025","Südkorea","Incheon","6676.65","5341.32","","Bereich-1","prd-54","5-43659-1","C-65"
"108","4/18/2025","2025","Südkorea","Incheon","4021.80","3217.44","","Bereich-4","prd-34","2-43658-1","C-107"
"109","4/19/2025","2025","USA","Seattle","8594.40","6875.52","","Bereich-4","prd-32","1-43663-1","C-76"
"110","4/20/2025","2025","Vereinigtes Königreich","London","4926.75","5419.43","","Bereich-5","prd-3","7-43653-1","C-141"
"111","4/21/2025","2025","Deutschland","München","8622.15","9484.36","","Bereich-1","prd-45","3-43666-1","C-65"
"112","4/22/2025","2025","Mexiko","Oaxaca","6930.90","7623.99","","Bereich-2","prd-96","9-43651-1","C-117"
"113","4/23/2025","2025","USA","Miami","5569.95","6126.95","","Bereich-2","prd-92","12-43655-1","C-53"
"114","4/24/2025","2025","China","Chongqing","5395.35","4316.28","","Bereich-5","prd-6","4-43660-1","C-124"
"115","4/25/2025","2025","Deutschland","München","7019.55","5615.64","","Bereich-4","prd-37","3-43667-1","C-65"
"116","4/26/2025","2025","Mexiko","Oaxaca","3688.65","2950.92","1","Bereich-3","prd-72","9-43652-1","C-117"
"117","4/27/2025","2025","Südkorea","Incheon","5586.30","4469.04","","Bereich-1","prd-57","5-43660-1","C-65"
"118","4/28/2025","2025","USA","Miami","5505.00","4404.00","1","Bereich-1","prd-45","12-43656-1","C-53"
"119","4/29/2025","2025","Südkorea","Incheon","6023.10","4818.48","","Bereich-1","prd-44","2-43659-1","C-107"
"120","4/30/2025","2025","Mexiko","Oaxaca","2193.60","1754.88","","Bereich-2","prd-92","9-43653-1","C-117"
"121","5/1/2025","2025","China","Chongqing","4431.75","3545.40","","Bereich-1","prd-45","4-43661-1","C-124"
"122","5/2/2025","2025","Südkorea","Incheon","4134.75","3307.80","","Bereich-3","prd-72","2-43660-1","C-107"
"123","5/3/2025","2025","Südkorea","Incheon","4602.30","3681.84","","Bereich-4","prd-32","2-43661-1","C-107"
"124","5/4/2025","2025","Vereinigtes Königreich","London","8779.20","7023.36","","Bereich-2","prd-100","10-43652-1","C-115"
"125","5/5/2025","2025","Mexiko","Oaxaca","6492.30","5193.84","","Bereich-3","prd-72","9-43654-1","C-117"
"126","5/6/2025","2025","China","Chongqing","5561.25","4449.00","","Bereich-3","prd-61","4-43662-1","C-124"
"127","5/7/2025","2025","Südkorea","Incheon","3491.25","2793.00","1","Bereich-2","prd-96","2-43662-1","C-107"
"128","5/8/2025","2025","Südkorea","Incheon","4682.85","3746.28","1","Bereich-5","prd-5","6-43653-1","C-85"
"129","5/9/2025","2025","Südkorea","Incheon","9327.00","7461.60","","Bereich-4","prd-29","5-43661-1","C-65"
"130","5/10/2025","2025","Südkorea","Incheon","4667.70","3734.16","","Bereich-2","prd-81","2-43663-1","C-107"
"131","5/11/2025","2025","USA","Miami","7501.05","6000.84","","Bereich-4","prd-25","1-43664-1","C-76"
"132","5/12/2025","2025","USA","Miami","9297.75","7438.20","","Bereich-1","prd-48","1-43665-1","C-76"
"133","5/13/2025","2025","Deutschland","München","8548.95","6839.16","","Bereich-1","prd-49","3-43668-1","C-65"
"134","5/14/2025","2025","USA","Miami","5713.65","4570.92","","Bereich-2","prd-89","1-43666-1","C-76"
"135","5/15/2025","2025","China","Chongqing","4125.75","3300.60","","Bereich-5","prd-13","11-43649-1","C-137"
"136","5/16/2025","2025","Südkorea","Incheon","6262.65","5010.12","","Bereich-3","prd-67","5-43662-1","C-65"
"137","5/17/2025","2025","China","Chongqing","5613.00","4490.40","","Bereich-2","prd-94","4-43663-1","C-124"
"138","5/18/2025","2025","China","Chongqing","5003.70","5504.07","","Bereich-3","prd-67","4-43664-1","C-124"
"139","5/19/2025","2025","China","Shenzhen","4386.45","4825.10","","Bereich-4","prd-37","4-43665-1","C-124"
"140","5/20/2025","2025","Deutschland","München","7527.15","8279.86","","Bereich-2","prd-99","3-43669-1","C-65"
"141","5/21/2025","2025","China","Shenzhen","5089.05","5597.95","","Bereich-5","prd-16","11-43650-1","C-137"
"142","5/22/2025","2025","Mexiko","Oaxaca","5820.15","6402.16","","Bereich-2","prd-81","9-43655-1","C-117"
"143","5/23/2025","2025","Südkorea","Incheon","8481.75","6785.40","","Bereich-4","prd-35","5-43663-1","C-65"
"144","5/24/2025","2025","USA","Miami","6945.45","5556.36","","Bereich-5","prd-19","1-43667-1","C-76"
"145","5/25/2025","2025","China","Shenzhen","5942.70","4754.16","1","Bereich-2","prd-92","4-43666-1","C-124"
"146","5/26/2025","2025","Südkorea","Daegu","7858.20","6286.56","","Bereich-4","prd-25","5-43664-1","C-65"
"147","5/27/2025","2025","China","Shenzhen","5490.30","4392.24","","Bereich-3","prd-67","4-43667-1","C-124"
"148","5/28/2025","2025","Deutschland","München","8147.10","6517.68","","Bereich-3","prd-78","3-43670-1","C-65"
"149","5/29/2025","2025","China","Shenzhen","3692.25","2953.80","","Bereich-3","prd-77","11-43651-1","C-137"
"150","5/30/2025","2025","Deutschland","München","5899.80","4719.84","","Bereich-1","prd-45","3-43671-1","C-65"
"151","5/31/2025","2025","USA","Miami","5144.55","4115.64","","Bereich-3","prd-77","1-43668-1","C-76"
"152","6/1/2025","2025","Südkorea","Daegu","6907.20","5525.76","","Bereich-2","prd-96","5-43665-1","C-65"
"153","6/2/2025","2025","Vereinigtes Königreich","London","4138.95","3311.16","","Bereich-4","prd-35","7-43655-1","C-141"
"154","6/3/2025","2025","Südkorea","Daegu","4523.40","3618.72","","Bereich-1","prd-45","6-43654-1","C-85"
"155","6/4/2025","2025","USA","Houston","7556.85","6045.48","","Bereich-2","prd-84","1-43669-1","C-76"
"156","6/5/2025","2025","Südkorea","Daegu","7718.10","6174.48","","Bereich-4","prd-24","5-43666-1","C-65"
"157","6/6/2025","2025","Mexiko","Puebla","8208.45","6566.76","1","Bereich-4","prd-35","8-43650-1","C-109"
"158","6/7/2025","2025","Südkorea","Daegu","3796.05","3036.84","","Bereich-4","prd-39","6-43655-1","C-85"
"159","6/8/2025","2025","Deutschland","München","8824.20","7059.36","","Bereich-3","prd-76","3-43672-1","C-65"
"160","6/9/2025","2025","USA","Houston","6566.85","5253.48","","Bereich-2","prd-92","12-43657-1","C-53"
"161","6/10/2025","2025","China","Shenzhen","6194.85","4955.88","","Bereich-5","prd-9","11-43652-1","C-137"
"162","6/11/2025","2025","USA","Houston","7449.30","5959.44","","Bereich-2","prd-81","1-43670-1","C-76"
"163","6/12/2025","2025","Mexiko","Puebla","5549.40","4439.52","","Bereich-4","prd-31","9-43656-1","C-117"
"164","6/13/2025","2025","China","Shenzhen","6672.60","5338.08","","Bereich-5","prd-1","11-43653-1","C-137"
"165","6/14/2025","2025","Deutschland","München","5804.85","4643.88","","Bereich-5","prd-9","3-43673-1","C-65"
"166","6/15/2025","2025","Südkorea","Daegu","9264.75","7411.80","","Bereich-2","prd-87","5-43667-1","C-65"
"167","6/16/2025","2025","Deutschland","München","9183.00","7346.40","","Bereich-4","prd-23","3-43674-1","C-65"
"168","6/17/2025","2025","Südkorea","Daegu","4847.70","3878.16","","Bereich-4","prd-36","2-43664-1","C-107"
"169","6/18/2025","2025","Deutschland","München","5431.35","4345.08","","Bereich-4","prd-34","3-43675-1","C-65"
"170","6/19/2025","2025","Vereinigtes Königreich","London","3208.50","2566.80","","Bereich-3","prd-77","7-43657-1","C-141"
"171","6/20/2025","2025","China","Guangzhou","6310.95","5048.76","","Bereich-3","prd-62","4-43668-1","C-124"
"172","6/21/2025","2025","Vereinigtes Königreich","London","4195.05","3356.04","","Bereich-2","prd-99","7-43659-1","C-141"
"173","6/22/2025","2025","Deutschland","München","5496.45","4397.16","","Bereich-4","prd-35","3-43676-1","C-65"
"174","6/23/2025","2025","Südkorea","Daegu","6198.15","4958.52","","Bereich-3","prd-63","2-43665-1","C-107"
"175","6/24/2025","2025","Südkorea","Daegu","7370.85","5896.68","","Bereich-2","prd-85","5-43668-1","C-65"
"176","6/25/2025","2025","Vereinigtes Königreich","London","6883.50","5506.80","","Bereich-1","prd-45","7-43661-1","C-141"
"177","6/26/2025","2025","USA","Houston","5096.40","4077.12","","Bereich-4","prd-29","12-43658-1","C-53"
"178","6/27/2025","2025","USA","Houston","9855.15","7884.12","","Bereich-5","prd-3","1-43671-1","C-76"
"179","6/28/2025","2025","Südkorea","Daegu","4320.45","3456.36","","Bereich-3","prd-63","2-43666-1","C-107"
"180","6/29/2025","2025","Südkorea","Daegu","5602.05","4481.64","","Bereich-5","prd-3","2-43667-1","C-107"
"181","6/30/2025","2025","Mexiko","Puebla","4528.80","3623.04","","Bereich-5","prd-12","9-43657-1","C-117"
"182","7/1/2025","2025","Deutschland","München","8519.85","6815.88","1","Bereich-5","prd-5","3-43677-1","C-65"
"183","7/2/2025","2025","Südkorea","Daegu","5446.35","4357.08","","Bereich-3","prd-68","2-43668-1","C-107"
"184","7/3/2025","2025","Mexiko","Puebla","6615.75","5292.60","","Bereich-3","prd-66","9-43658-1","C-117"
"185","7/4/2025","2025","Südkorea","Daegu","4798.95","3839.16","","Bereich-1","prd-46","2-43669-1","C-107"
"186","7/5/2025","2025","Deutschland","Hannover","7529.85","6023.88","","Bereich-5","prd-5","3-43647-1","C-65"
"187","7/6/2025","2025","Südkorea","Daegu","3970.65","3176.52","","Bereich-4","prd-20","6-43656-1","C-85"
"188","7/7/2025","2025","Mexiko","Puebla","5171.70","4137.36","","Bereich-3","prd-61","8-43651-1","C-109"
"189","7/8/2025","2025","Mexiko","Puebla","7775.40","6220.32","","Bereich-4","prd-31","8-43652-1","C-109"
"190","7/9/2025","2025","USA","Houston","8656.95","6925.56","","Bereich-3","prd-64","1-43672-1","C-76"
"191","7/10/2025","2025","USA","Houston","6334.50","5067.60","","Bereich-1","prd-54","1-43673-1","C-76"
"192","7/11/2025","2025","USA","Houston","9067.35","7253.88","","Bereich-3","prd-61","1-43674-1","C-76"
"193","7/12/2025","2025","Mexiko","Puebla","5080.80","4064.64","","Bereich-4","prd-26","9-43659-1","C-117"
"194","7/13/2025","2025","Südkorea","Daejeon","2823.45","2258.76","","Bereich-3","prd-60","2-43670-1","C-107"
"195","7/14/2025","2025","USA","Houston","6114.30","4891.44","","Bereich-2","prd-91","1-43675-1","C-76"
"196","7/15/2025","2025","China","Guangzhou","4776.45","3821.16","","Bereich-3","prd-76","4-43669-1","C-124"
"197","7/16/2025","2025","USA","Houston","8737.50","6990.00","","Bereich-1","prd-48","1-43676-1","C-76"
"198","7/17/2025","2025","Südkorea","Daejeon","8157.00","6525.60","1","Bereich-4","prd-22","2-43671-1","C-107"
"199","7/18/2025","2025","USA","Houston","8983.95","7187.16","1","Bereich-1","prd-53","1-43677-1","C-76"
"200","7/19/2025","2025","USA","Houston","7414.80","5931.84","","Bereich-5","prd-18","1-43649-1","C-76"
"201","7/20/2025","2025","Mexiko","Puebla","5680.20","4544.16","","Bereich-3","prd-69","8-43653-1","C-109"
"202","7/21/2025","2025","Vereinigtes Königreich","London","4713.00","3770.40","","Bereich-4","prd-35","7-43663-1","C-141"
"203","7/22/2025","2025","China","Guangzhou","5687.10","4549.68","","Bereich-2","prd-99","4-43670-1","C-124"
"204","7/23/2025","2025","Vereinigtes Königreich","London","8206.80","6565.44","","Bereich-2","prd-87","10-43653-1","C-115"
"205","7/24/2025","2025","USA","Houston","7061.40","5649.12","","Bereich-4","prd-20","1-43650-1","C-76"
"206","7/25/2025","2025","USA","Portland","6714.90","5371.92","","Bereich-3","prd-61","1-43651-1","C-76"
"207","7/26/2025","2025","USA","Portland","8833.80","7067.04","","Bereich-5","prd-9","1-43652-1","C-76"
"208","7/27/2025","2025","USA","Portland","7419.45","5935.56","","Bereich-3","prd-69","1-43653-1","C-76"
"209","7/28/2025","2025","Vereinigtes Königreich","Manchester","7929.15","6343.32","","Bereich-5","prd-14","10-43654-1","C-115"
"210","7/29/2025","2025","China","Guangzhou","2608.20","2086.56","","Bereich-3","prd-68","4-43671-1","C-124"
"211","7/30/2025","2025","USA","Portland","7240.35","5792.28","","Bereich-2","prd-99","1-43654-1","C-76"
"212","7/31/2025","2025","Vereinigtes Königreich","Manchester","4402.35","3521.88","","Bereich-3","prd-75","7-43665-1","C-141"
"213","8/1/2025","2025","Südkorea","Daejeon","5625.00","4500.00","","Bereich-4","prd-38","2-43672-1","C-107"
"214","8/2/2025","2025","Deutschland","Hannover","9233.40","7386.72","","Bereich-4","prd-29","3-43648-1","C-65"
"215","8/3/2025","2025","Südkorea","Daejeon","6363.30","5090.64","1","Bereich-2","prd-87","2-43673-1","C-107"
"216","8/4/2025","2025","USA","Portland","5629.20","4503.36","","Bereich-1","prd-56","12-43659-1","C-53"
"217","8/5/2025","2025","China","Guangzhou","6674.40","5339.52","","Bereich-2","prd-99","11-43654-1","C-137"
"218","8/6/2025","2025","Deutschland","Hannover","7829.55","6263.64","","Bereich-3","prd-61","3-43649-1","C-65"
"219","8/7/2025","2025","China","Guangzhou","3237.75","2590.20","1","Bereich-2","prd-84","4-43672-1","C-124"
"220","8/8/2025","2025","Mexiko","Puebla","8255.40","6604.32","","Bereich-2","prd-98","8-43654-1","C-109"
"221","8/9/2025","2025","USA","Portland","7669.05","6135.24","","Bereich-1","prd-45","1-43655-1","C-76"
"222","8/10/2025","2025","Deutschland","Hannover","6746.70","5397.36","","Bereich-3","prd-67","3-43650-1","C-65"
"223","8/11/2025","2025","Deutschland","Hannover","11168.25","8934.60","","Bereich-1","prd-57","3-43651-1","C-65"
"224","8/12/2025","2025","Vereinigtes Königreich","Manchester","6284.10","5027.28","","Bereich-4","prd-25","10-43655-1","C-115"
"225","8/13/2025","2025","Vereinigtes Königreich","Manchester","5839.95","4671.96","","Bereich-2","prd-95","7-43667-1","C-141"
"226","8/14/2025","2025","USA","Portland","6838.50","5470.80","","Bereich-1","prd-49","1-43656-1","C-76"
"227","8/15/2025","2025","China","Guangzhou","3992.40","3193.92","","Bereich-4","prd-21","4-43673-1","C-124"
"228","8/16/2025","2025","Deutschland","Hannover","6277.20","5021.76","","Bereich-3","prd-79","3-43652-1","C-65"
"229","8/17/2025","2025","USA","Portland","4792.20","3833.76","","Bereich-2","prd-99","12-43660-1","C-53"
"230","8/18/2025","2025","Südkorea","Daejeon","2122.20","1697.76","","Bereich-4","prd-21","6-43657-1","C-85"
"231","8/19/2025","2025","China","Wuhan","5023.35","4018.68","1","Bereich-4","prd-30","11-43655-1","C-137"
"232","8/20/2025","2025","USA","Portland","3949.80","3159.84","","Bereich-5","prd-17","12-43661-1","C-53"
"233","8/21/2025","2025","Südkorea","Daejeon","6627.60","5302.08","","Bereich-3","prd-66","5-43669-1","C-65"
"234","8/22/2025","2025","Südkorea","Daejeon","4209.15","3367.32","","Bereich-2","prd-100","6-43658-1","C-85"
"235","8/23/2025","2025","Mexiko","Puebla","4766.10","3812.88","","Bereich-2","prd-91","9-43660-1","C-117"
"236","8/24/2025","2025","Mexiko","Puebla","7729.20","6183.36","1","Bereich-3","prd-68","8-43655-1","C-109"
"237","8/25/2025","2025","USA","Portland","10502.10","8401.68","","Bereich-5","prd-9","1-43657-1","C-76"
"238","8/26/2025","2025","USA","Detroit","7094.40","5675.52","","Bereich-3","prd-79","1-43658-1","C-76"
